"SYMBOL 
","UNDERLYING ASSET 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
","VALUE 
 (₹ Crores)","NAV 
","52W H 
","52W L 
","30D  %CHNG 
","365 D 
","365 D % CHNG 
","30 D 
"
"AXISILVER","Axis Silver ETF","103.77","106.00","101.41","101.95","106.00","-","4.05","3.97","1,08,891","1.13","101.80","106.00","80.00",8.71,"05-Jun-2024","16.77","06-May-2025"
"SILVER360","Commodity-Silver","101.50","105.00","100.99","101.00","105.00","-","4.00","3.96","1,696","0.02","101.01","116.72","78.40",7.83,"-","-","06-May-2025"
"SILVER","Physical price of Silver","104.00","105.49","101.86","102.00","105.20","-","3.20","3.14","7,13,911","7.40","102.02","105.49","80.00",8.35,"05-Jun-2024","16.45","06-May-2025"
"SILVERADD","DSP Silver ETF","98.91","102.06","98.27","98.79","101.79","-","3.00","3.04","7,07,078","7.17","98.52","102.06","77.20",8.77,"05-Jun-2024","17.05","06-May-2025"
"SILVERETF","UTI Silver Exchange Traded Fund (UTI Silver ETF)","100.48","104.01","99.07","99.26","102.24","-","2.98","3.00","3,64,742","3.67","99.28","104.01","79.50",8.36,"05-Jun-2024","13.90","06-May-2025"
"SILVERCASE","Commodity-Silver","10.52","10.75","10.39","10.40","10.71","-","0.31","2.98","12,44,470","1.31","15.35","10.99","9.00",8.1,"-","-","06-May-2025"
"HDFCSILVER","HDFC Silver ETF","98.28","101.40","98.10","98.22","101.00","-","2.78","2.83","10,51,553","10.49","98.20","101.40","77.50",7.91,"05-Jun-2024","15.91","06-May-2025"
"TATSILV","Tata Silver Exchange Traded Fund","10.18","10.26","9.80","9.94","10.22","-","0.28","2.82","35,48,165","3.55","9.86","10.26","7.00",8.17,"05-Jun-2024","15.93","06-May-2025"
"GROWWDEFNC","Nifty India Defence Index- Total Return Index","86.54","91.20","86.54","88.76","91.20","-","2.44","2.75","7,01,316","6.31","88.59","93.89","49.83",29.42,"-","-","06-May-2025"
"MOCAPITAL","Nifty Capital Market Total Return Index","45.54","45.97","44.46","44.43","45.64","-","1.21","2.72","7,56,436","3.41","44.18","51.13","29.20",25.12,"-","-","06-May-2025"
